Cancer Sites,Cancer Sites Code,States,States Code,Gender Male,Males Count,Gender Female,Females Count,Total Count
Lung and Bronchus,22030,Alabama,1,Male,3842,Female,2862,6704
Lung and Bronchus,22030,Alaska,2,Male,368,Female,332,700
Lung and Bronchus,22030,Arizona,4,Male,2745,Female,2734,5479
Lung and Bronchus,22030,Arkansas,5,Male,2653,Female,2125,4778
Lung and Bronchus,22030,California,6,Male,11608,Female,11056,22664
Lung and Bronchus,22030,Colorado,8,Male,1798,Female,1853,3651
Lung and Bronchus,22030,Connecticut,9,Male,1945,Female,1979,3924
Lung and Bronchus,22030,Delaware,10,Male,628,Female,620,1248
Lung and Bronchus,22030,District of Columbia,11,Male,263,Female,274,537
Lung and Bronchus,22030,Georgia,13,Male,6476,Female,5396,11872
Lung and Bronchus,22030,Hawaii,15,Male,629,Female,512,1141
Lung and Bronchus,22030,Idaho,16,Male,708,Female,706,1414
Lung and Bronchus,22030,Illinois,17,Male,7494,Female,7189,14683
Lung and Bronchus,22030,Indiana,18,Male,3799,Female,3416,7215
Lung and Bronchus,22030,Iowa,19,Male,2256,Female,1888,4144
Lung and Bronchus,22030,Kansas,20,Male,1586,Female,1577,3163
Lung and Bronchus,22030,Kentucky,21,Male,4522,Female,4151,8673
Lung and Bronchus,22030,Louisiana,22,Male,3569,Female,2742,6311
Lung and Bronchus,22030,Maine,23,Male,1204,Female,1094,2298
Lung and Bronchus,22030,Maryland,24,Male,3038,Female,3123,6161
Lung and Bronchus,22030,Massachusetts,25,Male,3861,Female,4327,8188
Lung and Bronchus,22030,Michigan,26,Male,7001,Female,6577,13578
Lung and Bronchus,22030,Minnesota,27,Male,3043,Female,2955,5998
Lung and Bronchus,22030,Mississippi,28,Male,2651,Female,1939,4590
Lung and Bronchus,22030,Missouri,29,Male,4880,Female,4565,9445
Lung and Bronchus,22030,Montana,30,Male,533,Female,587,1120
Lung and Bronchus,22030,Nebraska,31,Male,1105,Female,988,2093
Lung and Bronchus,22030,Nevada,32,Male,891,Female,914,1805
Lung and Bronchus,22030,New Hampshire,33,Male,947,Female,997,1944
Lung and Bronchus,22030,New Jersey,34,Male,4060,Female,4227,8287
Lung and Bronchus,22030,New Mexico,35,Male,691,Female,685,1376
Lung and Bronchus,22030,New York,36,Male,10564,Female,10872,21436
Lung and Bronchus,22030,North Carolina,37,Male,7245,Female,6436,13681
Lung and Bronchus,22030,North Dakota,38,Male,406,Female,392,798
Lung and Bronchus,22030,Ohio,39,Male,9074,Female,8152,17226
Lung and Bronchus,22030,Oklahoma,40,Male,2744,Female,2415,5159
Lung and Bronchus,22030,Oregon,41,Male,2038,Female,2170,4208
Lung and Bronchus,22030,Pennsylvania,42,Male,8759,Female,8412,17171
Lung and Bronchus,22030,Rhode Island,44,Male,678,Female,713,1391
Lung and Bronchus,22030,South Carolina,45,Male,3772,Female,3169,6941
Lung and Bronchus,22030,South Dakota,46,Male,493,Female,486,979
Lung and Bronchus,22030,Tennessee,47,Male,5656,Female,4986,10642
Lung and Bronchus,22030,Texas,48,Male,11653,Female,9813,21466
Lung and Bronchus,22030,Utah,49,Male,551,Female,531,1082
Lung and Bronchus,22030,Vermont,50,Male,465,Female,407,872
Lung and Bronchus,22030,Virginia,51,Male,4629,Female,4223,8852
Lung and Bronchus,22030,Washington,53,Male,3399,Female,3458,6857
Lung and Bronchus,22030,West Virginia,54,Male,1914,Female,1715,3629
Lung and Bronchus,22030,Wisconsin,55,Male,3735,Female,3473,7208
Lung and Bronchus,22030,Wyoming,56,Male,235,Female,246,481
